代號,名稱,公司簡介
4967,十銓,"Team Group Inc. is a Taiwanese company specializing in memory storage products like DRAM, SSDs, and USB drives."
2415,錩新,"Cheng Uei Precision Industry Co., Ltd. (Foxlink) manufactures connectors and cable assemblies for communications and consumer electronics."
3048,益登,Edom Technology is a semiconductor distributor offering design and logistics support across Asia.
6506,雙邦,Shuang Bang Industrial Corp. specializes in manufacturing industrial materials and products.
6988,威力暘-創,Powerchip Semiconductor Manufacturing Corporation is involved in the production of DRAM and foundry services.
1324,地球,"Diqiu is engaged in the chemical industry, focusing on fertilizer and agricultural solutions."
4737,華廣,Hua Guang Advanced Materials Co. develops and supplies materials for electronics and optoelectronics.
2312,金寶,"Compal Electronics manufactures notebook computers, monitors, and other electronics."
4999,鑫禾,"Sino Horizon Holdings engages in electronics, semiconductors, and system integration services."
2419,仲琦,ZyXEL Communications produces networking equipment and broadband access solutions.
6224,聚鼎,Polytronics Technology Corp. produces circuit protection and thermal management solutions.
3231,緯創,"Wistron Corporation provides design, manufacturing, and after-sales services for information and communication technology products."
